Year,Country,Month,Tourist_Arrival,Date,Quarter,Season,Region
2018,India,1,37936,2018-01-01,1,Maha Season,Asia
2018,China,1,24275,2018-01-01,1,Maha Season,Asia
2018,United Kingdom,1,22940,2018-01-01,1,Maha Season,Europe
2018,Germany,1,15298,2018-01-01,1,Maha Season,Europe
2018,Australia,1,9452,2018-01-01,1,Maha Season,Oceania
2018,France,1,12221,2018-01-01,1,Maha Season,Europe
2018,Maldives,1,6124,2018-01-01,1,Maha Season,Asia
2018,United States,1,7501,2018-01-01,1,Maha Season,North America
2018,Russia,1,11569,2018-01-01,1,Maha Season,Europe
2018,Netherlands,1,5061,2018-01-01,1,Maha Season,Europe
2018,Canada,1,5682,2018-01-01,1,Maha Season,North America
2018,Japan,1,4694,2018-01-01,1,Maha Season,Asia
2018,Italy,1,5348,2018-01-01,1,Maha Season,Europe
2018,Ukraine,1,6636,2018-01-01,1,Maha Season,Europe
2018,Saudi Arabia,1,4397,2018-01-01,1,Maha Season,Asia
2018,Switzerland,1,3104,2018-01-01,1,Maha Season,Europe
2018,Spain,1,1388,2018-01-01,1,Maha Season,Europe
2018,Sweden,1,5586,2018-01-01,1,Maha Season,Europe
2018,Malaysia,1,1735,2018-01-01,1,Maha Season,Asia
2018,Poland,1,3254,2018-01-01,1,Maha Season,Europe
2018,Singapore,1,1387,2018-01-01,1,Maha Season,Asia
2018,Austria,1,2833,2018-01-01,1,Maha Season,Europe
2018,Philippines,1,1667,2018-01-01,1,Maha Season,Asia
2018,Denmark,1,3013,2018-01-01,1,Maha Season,Europe
2018,Pakistan,1,2099,2018-01-01,1,Maha Season,Asia
2018,Czechia,1,2257,2018-01-01,1,Maha Season,Europe
2018,Belgium,1,1275,2018-01-01,1,Maha Season,Europe
2018,Norway,1,1851,2018-01-01,1,Maha Season,Europe
2018,South Korea,1,2493,2018-01-01,1,Maha Season,Asia
2018,Israel,1,1321,2018-01-01,1,Maha Season,Asia
2018,New Zealand,1,989,2018-01-01,1,Maha Season,Oceania
2018,Ireland,1,975,2018-01-01,1,Maha Season,Europe
2018,Bangladesh,1,982,2018-01-01,1,Maha Season,Asia
2018,Thailand,1,785,2018-01-01,1,Maha Season,Asia
2018,Finland,1,1854,2018-01-01,1,Maha Season,Europe
2018,Taiwan,1,928,2018-01-01,1,Maha Season,Asia
2018,Greece,1,644,2018-01-01,1,Maha Season,Europe
2018,South Africa,1,588,2018-01-01,1,Maha Season,Africa
2018,Oman,1,842,2018-01-01,1,Maha Season,Asia
2018,Portugal,1,486,2018-01-01,1,Maha Season,Europe
2018,Romania,1,935,2018-01-01,1,Maha Season,Europe
2018,United Arab Emirates,1,336,2018-01-01,1,Maha Season,Asia
2018,Iran,1,507,2018-01-01,1,Maha Season,Asia
2018,Lebanon,1,358,2018-01-01,1,Maha Season,Asia
2018,Indonesia,1,535,2018-01-01,1,Maha Season,Asia
2018,Nepal,1,566,2018-01-01,1,Maha Season,Asia
2018,Slovakia,1,760,2018-01-01,1,Maha Season,Europe
2018,Belarus,1,802,2018-01-01,1,Maha Season,Europe
2018,Hungary,1,894,2018-01-01,1,Maha Season,Europe
2018,Turkey,1,658,2018-01-01,1,Maha Season,Asia
2018,Slovenia,1,380,2018-01-01,1,Maha Season,Europe
2018,Egypt,1,433,2018-01-01,1,Maha Season,Africa
2018,Kuwait,1,545,2018-01-01,1,Maha Season,Asia
2018,Lithuania,1,382,2018-01-01,1,Maha Season,Europe
2018,Myanmar,1,372,2018-01-01,1,Maha Season,Asia
2018,Vietnam,1,237,2018-01-01,1,Maha Season,Asia
2018,Jordan,1,366,2018-01-01,1,Maha Season,Asia
2018,Bahrain,1,588,2018-01-01,1,Maha Season,Asia
2018,Brazil,1,226,2018-01-01,1,Maha Season,South America
2018,Estonia,1,435,2018-01-01,1,Maha Season,Europe
2018,Kazakhstan,1,674,2018-01-01,1,Maha Season,Asia
2018,Bulgaria,1,277,2018-01-01,1,Maha Season,Europe
2018,Croatia,1,481,2018-01-01,1,Maha Season,Europe
2018,Latvia,1,268,2018-01-01,1,Maha Season,Europe
2018,Argentina,1,236,2018-01-01,1,Maha Season,South America
2018,Serbia,1,285,2018-01-01,1,Maha Season,Europe
2018,Qatar,1,268,2018-01-01,1,Maha Season,Asia
2018,Mexico,1,84,2018-01-01,1,Maha Season,North America
2018,Yemen,1,126,2018-01-01,1,Maha Season,Asia
2018,Armenia,1,180,2018-01-01,1,Maha Season,Asia
2018,Palestinian Territories,1,114,2018-01-01,1,Maha Season,Asia
2018,Morocco,1,86,2018-01-01,1,Maha Season,Africa
2018,Iraq,1,81,2018-01-01,1,Maha Season,Asia
2018,Chile,1,99,2018-01-01,1,Maha Season,South America
2018,Kenya,1,64,2018-01-01,1,Maha Season,Africa
2018,Luxembourg,1,87,2018-01-01,1,Maha Season,Europe
2018,Afghanistan,1,83,2018-01-01,1,Maha Season,Asia
2018,Sudan,1,59,2018-01-01,1,Maha Season,Africa
2018,Cambodia,1,85,2018-01-01,1,Maha Season,Asia
2018,Mauritius,1,56,2018-01-01,1,Maha Season,Africa
2018,Tunisia,1,71,2018-01-01,1,Maha Season,Africa
2018,Colombia,1,52,2018-01-01,1,Maha Season,South America
2018,Georgia,1,85,2018-01-01,1,Maha Season,Asia
2018,Bhutan,1,110,2018-01-01,1,Maha Season,Asia
2018,Cyprus,1,55,2018-01-01,1,Maha Season,Asia
2018,Uzbekistan,1,69,2018-01-01,1,Maha Season,Asia
2018,Azerbaijan,1,78,2018-01-01,1,Maha Season,Asia
2018,Malta,1,47,2018-01-01,1,Maha Season,Europe
2018,Kyrgyzstan,1,109,2018-01-01,1,Maha Season,Asia
2018,Moldova,1,100,2018-01-01,1,Maha Season,Europe
2018,Iceland,1,51,2018-01-01,1,Maha Season,Europe
2018,Seychelles,1,0,2018-01-01,1,Maha Season,Africa
2018,Nigeria,1,44,2018-01-01,1,Maha Season,Africa
2018,Algeria,1,38,2018-01-01,1,Maha Season,Africa
2018,North Macedonia,1,44,2018-01-01,1,Maha Season,Europe
2018,Peru,1,27,2018-01-01,1,Maha Season,South America
2018,Bosnia and Herzegovina,1,20,2018-01-01,1,Maha Season,Europe
2018,Zimbabwe,1,10,2018-01-01,1,Maha Season,Africa
2018,Montenegro,1,17,2018-01-01,1,Maha Season,Europe
2018,Tanzania,1,18,2018-01-01,1,Maha Season,Africa
2018,Venezuela,1,12,2018-01-01,1,Maha Season,South America
2018,Syria,1,19,2018-01-01,1,Maha Season,Asia
2018,Ethiopia,1,18,2018-01-01,1,Maha Season,Africa
2018,Comoros,1,8,2018-01-01,1,Maha Season,Africa
2018,Mongolia,1,21,2018-01-01,1,Maha Season,Asia
2018,Albania,1,14,2018-01-01,1,Maha Season,Europe
2018,Fiji,1,19,2018-01-01,1,Maha Season,Oceania
2018,Laos,1,9,2018-01-01,1,Maha Season,Asia
2018,Ecuador,1,7,2018-01-01,1,Maha Season,South America
2018,Uganda,1,15,2018-01-01,1,Maha Season,Africa
2018,Costa Rica,1,9,2018-01-01,1,Maha Season,Central America
2018,Ghana,1,9,2018-01-01,1,Maha Season,Africa
2018,Liechtenstein,1,5,2018-01-01,1,Maha Season,Europe
2018,Uruguay,1,13,2018-01-01,1,Maha Season,South America
2018,Zambia,1,2,2018-01-01,1,Maha Season,Africa
2018,Trinidad and Tobago,1,5,2018-01-01,1,Maha Season,Caribbean
2018,Jamaica,1,9,2018-01-01,1,Maha Season,Caribbean
2018,Tajikistan,1,25,2018-01-01,1,Maha Season,Asia
